Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2024-01-02,183.7313232421875,137.0373992919922,364.5894470214844,186.50253778362813,138.30690574155653,369.5342646061022,181.99931604152513,135.36125003790988,360.55887302589025,185.22579259007347,137.41428922141964,367.5288028618132,82488700,23711200,25258600
2024-01-03,182.35562133789062,137.78126525878906,364.3240661621094,183.9688672168001,138.48545201856635,366.9390238907261,181.5440449736598,135.95635144618018,362.2694629469342,182.32593099304364,136.12495613317765,362.7609956778596,58414500,24212100,23083500
2024-01-04,180.0396728515625,135.27198791503906,361.7090759277344,181.2075332827541,138.01928600247774,366.7816968551165,179.02026413555495,135.23232246051418,360.95212639041375,180.277195595857,137.2853464572302,364.3928551976836,71983600,27137700,20901500
2024-01-05,179.31715393066406,134.6173858642578,361.52227783203125,180.88091065327836,136.03567169625202,365.75928703620065,178.31754388665928,134.0421384410589,360.29344616027043,180.1188384374096,135.6290289280703,362.72161874370073,62379700,22513900,21004600
2024-01-08,183.6521453857422,137.701904296875,368.34478759765625,183.69174257913158,137.87050896561743,368.8461605661577,179.63389106527006,135.1430511234635,362.76098316710153,180.21782130157615,135.17280399831742,363.04605054064757,59144500,21404000,23134000
2024-01-09,183.2364501953125,139.7946014404297,369.4261474609375,183.24634194188326,140.33018342656837,369.62274253642516,180.85122540618832,137.01755057751834,364.9040407138779,182.0289926299427,137.3646876105234,365.71016152546855,42841800,24759600,20830000
2024-01-10,184.27566528320312,141.11367797851562,376.28790283203125,184.48349768333688,141.82777708783627,377.66421828465786,182.02900036017593,139.75491320864225,369.94714950002793,182.4545871112419,139.84417181388054,369.99629076586194,46792900,21320200,25514200
2024-01-11,183.68182373046875,140.91534423828125,378.1164245605469,185.12681915669637,144.02960443815402,384.0639578363486,181.73207738578324,139.4871457788245,373.9383968872458,184.62205313633504,142.3137898243085,379.4632192692285,49128400,24008700,27850800
2024-01-12,184.0084228515625,141.48065185546875,381.8913879394531,184.8199990991005,142.02614637782855,382.0978232574525,183.28593272766105,140.6574689161085,378.13607119839037,184.14698280822722,141.50049214729324,378.9618424711607,40477800,18785500,21661200
2024-01-16,181.74197387695312,141.3219757080078,383.6609191894531,182.36548612847807,143.16672938152487,387.3572546583597,179.0697224204938,140.29049239931624,381.0558019045163,180.28708678689063,140.83598692471,386.9935252639614,65603000,22670500,27202300
2024-01-17,180.80172729492188,140.31033325195312,382.8744812011719,181.04915686376333,140.67729541881693,383.50362745457204,178.44620806884475,137.76139297479475,378.29339285307435,179.40623600410183,140.19132176728564,381.4097233605343,47317400,20968600,22234100
2024-01-18,186.69058227539062,142.30384826660156,387.199951171875,187.1953332109462,143.02787513950906,387.317914215752,183.9193677995691,140.8260719176682,383.51345604684644,184.17668914088887,140.8855776587382,385.0863666336801,78005800,25746400,23392100
2024-01-19,189.59043884277344,145.18008422851562,391.9186706542969,189.97642838325277,145.24950254806373,391.9186706542969,186.8786203129096,143.19647882633325,386.83620966747424,187.38337121910467,143.5535284040744,389.05794692680297,68903000,34271900,29331100
2024-01-22,191.896484375,144.7932891845703,389.7952880859375,193.32168117146784,147.17360973542569,393.8356726529961,190.2832386815117,144.64450969157375,386.9247237943795,190.32283587135973,145.89419084442545,393.2458273875224,60133900,32200400,27016900
2024-01-23,193.17320251464844,145.83470153808594,392.1447448730469,193.7373491711095,145.97355334805007,392.61662702057765,191.83709192633378,144.30733162848043,387.25890909833606,193.01485907067706,144.69413418007426,389.0480951568549,42355600,21636100,20525900
2024-01-24,192.50021362304688,147.48106384277344,395.7428283691406,194.36088890095834,148.6216460696022,398.7608465253621,192.34185506707502,146.88599128129252,393.66857465315076,193.41075266703035,147.32237177289502,394.7401124022686,53631300,25233500,24867000
2024-01-25,192.17359924316406,150.62509155273438,398.0137023925781,194.2520137003454,151.79542676635216,400.1174768477645,191.124500268323,148.3141891335314,395.7133328486228,193.21280647175473,148.83985855855067,397.4730283974927,54822100,29149100,21021200
2024-01-26,190.4415740966797,150.9424591064453,397.089599609375,192.75751105858055,151.28958097989496,399.291686504724,189.966513589549,149.77212402167038,395.6150015101639,192.27255880614135,149.86139776851957,397.52215078520555,44594000,26115500,17803300
2024-01-29,189.7586669921875,152.25164794921875,402.7815246582031,190.22383575614066,152.51943895245324,403.037131241998,187.6307788947091,150.18869623371097,397.4827881758261,190.03578688110838,150.8135368633547,399.18350198201716,47145600,27784300,24510200
2024-01-30,186.1066131591797,150.2184600830078,401.670654296875,189.82796344587697,152.3607426484438,406.05511721074,185.54248160944437,149.95066908718712,399.5669101187714,188.9768051464624,151.5474722147389,405.2785172108199,55859400,36331800,33477600
